id,manufacturer,model,icao24,callsign,origin_country,altitude_m,velocity_ms,estimated_fuel_burn_kg_h,estimated_co2_kg_h,captured_at,loaded_at
370,Boeing,Boeing 737-8AS,48c12c,RYR54BD,Poland,11277.6,208.68,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
371,Boeing,Boeing 737-8AS (W),48c139,RYR466H,Poland,11582.4,211.44,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
372,Boeing,Boeing 737-8AS,48c133,RYR6782,Poland,2788.92,113.33,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
373,Boeing,737-8AS,48c132,RYR5UT,Poland,11582.4,223.87,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
374,Boeing,Boeing 737-8AS (W),48c130,RYR7YF,Poland,6050.28,191.26,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
375,Boeing,Boeing 737-8AS (W),48c128,RYS7012,Poland,10660.38,238.4,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
376,Boeing,Boeing 737-8AS (W),48c127,RYR871,Poland,3909.06,244.01,2400,7584,2026-08-17 19:58:34,2026-08-17 20:37:37.750911
377,Boeing,737-8AS (W),48c125,RYR8976,Poland,1287.78,88.39,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
378,Boeing,737-8AS (W),48c122,RYR4MZ,Poland,11887.2,251.83,2400,7584,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
379,Boeing,737-8AS (W),48c121,RYR7GN,Poland,10972.8,229.65,2400,7584,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
380,Airbus,A320 214SL,3444cc,VLG3CK,Spain,10972.8,251.73,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
381,Airbus,A320 214SL,3444ca,VLG35PE,Spain,9144,223.01,2500,7900,2026-08-17 20:37:27,2026-08-17 20:37:37.750911
382,Airbus,A320 214,3444d0,VLG8463,Spain,4206.24,180.09,2500,7900,2026-08-17 20:37:26,2026-08-17 20:37:37.750911
